id,text,length,races,difficulty_rating,top_score,top_100,average,active_since,top_score_user
1,"Geometry sets out from certain conceptions such as ""plane,"" ...",464,53233,0.882,214.98,170.43,76.94,2008-08-06,joshua728
2,But speculations on the structure of the universe also move ...,295,105369,1.0,221.33,179.58,77.27,2008-08-03,l___l
3,"No man is an island, entire of itself; every man is a piece ...",389,93819,0.972,211.04,173.16,78.73,2008-08-03,joshua728
4,"I can feel the heat closing in, feel them out there making t...",273,108576,0.967,210.5,179.85,75.84,2008-08-03,arenasnow
5,"Thirdly, however, these wars could now be waged with the new...",267,104573,0.99,210.84,181.43,76.37,2008-07-27,chakk
6,"The creation ends in South Georgia, at the very edge of the ...",382,92460,1.008,213.25,184.11,81.65,2008-08-03,arenasnow
7,"The day dawned bleak and chill, a moving wall of gray light ...",398,89230,0.967,207.79,174.01,77.89,2008-08-03,quitless
8,The streets were cleared by a Critical Mass bike ride and we...,281,102144,0.968,192.69,171.71,74.24,2008-08-03,quitless
9,But the two men were not lonely at all. At home they were co...,256,136114,1.064,221.85,192.68,84.2,2008-08-05,inconsistency
10,"Wilkinson County was a recipient of one of the new ""separate...",268,77975,0.847,230.55,165.71,65.56,2008-08-08,joshua728
11,"Kid, I've flown from one side of this galaxy to the other, a...",263,111619,0.988,206.76,175.65,76.6,2008-08-03,arenasnow
12,"What good's a reward if you ain't around to use it? Besides,...",143,125713,0.979,222.86,188.77,76.2,2008-08-08,joshua728
13,"It is a period of civil war. Rebel spaceships, striking from...",320,70992,0.944,215.48,177.59,80.84,2008-08-08,arenasnow2
14,The garbage chute was a wonderful idea! What an incredible s...,106,6013,0.743,195.09,154.72,48.01,2008-08-09,joshua728
15,"Get it straight buster - I'm not here to say please, I'm her...",251,106119,0.963,218.17,179.67,75.25,2008-08-03,joshunq
16,"Ezekiel twenty-five, seventeen: The path of the righteous ma...",323,77251,0.954,210.82,172.9,76.51,2008-08-08,arabianghosthaunting
17,"Well, the way they make shows is, they make one show. That s...",357,115857,1.063,233.52,192.95,88.22,2008-08-07,joshua728
18,If I'm curt with you it's because time is a factor. I think ...,191,134287,1.031,217.97,194.85,81.49,2008-07-28,arenasnow
19,Do you know what they call a Quarter-pounder with cheese in ...,168,105103,0.936,195.84,168.79,70.35,2008-08-08,florentine
